dataset,rtimeinst,rtime
openstack,0.000157,0.000157
openstack,0.000158,0.000158
openstack,0.000159,0.000159
openstack,0.000156,0.000156
openstack,0.00016,0.00016
openstack,0.00017,0.00017
openstack,0.000174,0.000174
openstack,0.000163,0.000163
openstack,0.00016,0.00016
openstack,0.000155,0.000155
openstack,0.000156,0.000156
openstack,0.000158,0.000158
openstack,0.000171,0.000171
openstack,0.000156,0.000156
openstack,0.000156,0.000156
openstack,0.000175,0.000175
openstack,0.000213,0.000213
openstack,0.000158,0.000158
openstack,0.000156,0.000156
openstack,0.000165,0.000165
openstack,0.000159,0.000159
openstack,0.000158,0.000158
openstack,0.000158,0.000158
openstack,0.000159,0.000159
openstack,0.00016,0.00016
openstack,0.000161,0.000161
openstack,0.000163,0.000163
openstack,0.000174,0.000174
openstack,0.000156,0.000156
openstack,0.000159,0.000159
openstack,0.000167,0.000167
openstack,0.000169,0.000169
openstack,0.000159,0.000159
openstack,0.000155,0.000155
openstack,0.000161,0.000161
openstack,0.000188,0.000188
openstack,0.000168,0.000168
openstack,0.000155,0.000155
openstack,0.000172,0.000172
openstack,0.000169,0.000169
openstack,0.000158,0.000158
openstack,0.000166,0.000166
openstack,0.000166,0.000166
openstack,0.000167,0.000167
openstack,0.000179,0.000179
openstack,0.000173,0.000173
openstack,0.000155,0.000155
openstack,0.000156,0.000156
openstack,0.000159,0.000159
openstack,0.000171,0.000171
openstack,0.000159,0.000159
openstack,0.000158,0.000158
openstack,0.000171,0.000171
openstack,0.00016,0.00016
openstack,0.000182,0.000182
openstack,0.000159,0.000159
openstack,0.000155,0.000155
openstack,0.000157,0.000157
openstack,0.000171,0.000171
openstack,0.000157,0.000157
openstack,0.000172,0.000172
openstack,0.000166,0.000166
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000165,0.000165
openstack,0.000157,0.000157
openstack,0.000157,0.000157
openstack,0.00017,0.00017
openstack,0.000154,0.000154
openstack,0.000159,0.000159
openstack,0.000157,0.000157
openstack,0.00017,0.00017
openstack,0.00016,0.00016
openstack,0.000195,0.000195
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000158,0.000158
openstack,0.000161,0.000161
openstack,0.000158,0.000158
openstack,0.000156,0.000156
openstack,0.000168,0.000168
openstack,0.000158,0.000158
openstack,0.000158,0.000158
openstack,0.00016,0.00016
openstack,0.000157,0.000157
openstack,0.000171,0.000171
openstack,0.00016,0.00016
openstack,0.000156,0.000156
openstack,0.000163,0.000163
openstack,0.000153,0.000153
openstack,0.000175,0.000175
openstack,0.000159,0.000159
openstack,0.00019,0.00019
openstack,0.000173,0.000173
openstack,0.000156,0.000156
openstack,0.000158,0.000158
openstack,0.000161,0.000161
openstack,0.000163,0.000163
openstack,0.000156,0.000156
openstack,0.000159,0.000159
openstack,0.000158,0.000158
openstack,0.000155,0.000155
openstack,0.00019,0.00019
openstack,0.000156,0.000156
openstack,0.000174,0.000174
openstack,0.000161,0.000161
qt,0.000217,0.000217
qt,0.000181,0.000181
qt,0.000204,0.000204
qt,0.000209,0.000209
qt,0.000205,0.000205
qt,0.000201,0.000201
qt,0.000186,0.000186
qt,0.000201,0.000201
qt,0.000206,0.000206
qt,0.000204,0.000204
qt,0.000186,0.000186
qt,0.000198,0.000198
qt,0.000182,0.000182
qt,0.000193,0.000193
qt,0.000203,0.000203
qt,0.000194,0.000194
qt,0.000215,0.000215
qt,0.000197,0.000197
qt,0.000188,0.000188
qt,0.000203,0.000203
qt,0.000185,0.000185
qt,0.000185,0.000185
qt,0.000182,0.000182
qt,0.000194,0.000194
qt,0.000228,0.000228
qt,0.000196,0.000196
qt,0.000183,0.000183
qt,0.000197,0.000197
qt,0.000196,0.000196
qt,0.000197,0.000197
qt,0.000194,0.000194
qt,0.000194,0.000194
qt,0.000182,0.000182
qt,0.000205,0.000205
qt,0.000199,0.000199
qt,0.000197,0.000197
qt,0.00021,0.00021
qt,0.000196,0.000196
qt,0.000205,0.000205
qt,0.000199,0.000199
qt,0.000195,0.000195
qt,0.000225,0.000225
qt,0.000197,0.000197
qt,0.000198,0.000198
qt,0.000199,0.000199
qt,0.000215,0.000215
qt,0.000186,0.000186
qt,0.000196,0.000196
qt,0.000196,0.000196
qt,0.000213,0.000213
qt,0.000195,0.000195
qt,0.0002,0.0002
qt,0.000181,0.000181
qt,0.000198,0.000198
qt,0.000182,0.000182
qt,0.000204,0.000204
qt,0.000214,0.000214
qt,0.000225,0.000225
qt,0.000196,0.000196
qt,0.000195,0.000195
qt,0.000185,0.000185
qt,0.000188,0.000188
qt,0.000197,0.000197
qt,0.000198,0.000198
qt,0.000195,0.000195
qt,0.000195,0.000195
qt,0.000191,0.000191
qt,0.000197,0.000197
qt,0.000196,0.000196
qt,0.000196,0.000196
qt,0.000196,0.000196
qt,0.000198,0.000198
qt,0.000206,0.000206
qt,0.000195,0.000195
qt,0.000225,0.000225
qt,0.000194,0.000194
qt,0.000206,0.000206
qt,0.000196,0.000196
qt,0.000195,0.000195
qt,0.000183,0.000183
qt,0.000196,0.000196
qt,0.000208,0.000208
qt,0.000228,0.000228
qt,0.000196,0.000196
qt,0.0002,0.0002
qt,0.000198,0.000198
qt,0.000203,0.000203
qt,0.000188,0.000188
qt,0.000185,0.000185
qt,0.000207,0.000207
qt,0.000195,0.000195
qt,0.000202,0.000202
qt,0.000196,0.000196
qt,0.000195,0.000195
qt,0.000183,0.000183
qt,0.000198,0.000198
qt,0.000183,0.000183
qt,0.000182,0.000182
qt,0.000196,0.000196
qt,0.000229,0.000229
qt,0.000193,0.000193
qt,0.000218,0.000218
qt,0.000198,0.000198
qt,0.000193,0.000193
qt,0.000195,0.000195
qt,0.000195,0.000195
qt,0.00022,0.00022
qt,0.00022,0.00022
qt,0.000198,0.000198
qt,0.000197,0.000197
qt,0.000184,0.000184
qt,0.000187,0.000187
qt,0.000183,0.000183
qt,0.000195,0.000195
qt,0.000183,0.000183
qt,0.000196,0.000196
qt,0.000217,0.000217
qt,0.000196,0.000196
qt,0.000194,0.000194
qt,0.000195,0.000195
qt,0.000196,0.000196
qt,0.000211,0.000211
qt,0.000185,0.000185
qt,0.000195,0.000195
qt,0.000238,0.000238
qt,0.000198,0.000198
qt,0.000212,0.000212
qt,0.000198,0.000198
qt,0.000198,0.000198
qt,0.000202,0.000202
qt,0.0002,0.0002
qt,0.000203,0.000203
qt,0.000216,0.000216
qt,0.000196,0.000196
qt,0.000201,0.000201
qt,0.000198,0.000198
qt,0.00019,0.00019
qt,0.000185,0.000185
qt,0.000213,0.000213
qt,0.000199,0.000199
qt,0.000238,0.000238
qt,0.000199,0.000199
qt,0.0002,0.0002
qt,0.000211,0.000211
qt,0.000168,0.000168
qt,0.000196,0.000196
qt,0.000182,0.000182
qt,0.000197,0.000197
qt,0.000222,0.000222
qt,0.000204,0.000204
qt,0.00018,0.00018
qt,0.000196,0.000196
qt,0.000183,0.000183
qt,0.00021,0.00021
qt,0.000194,0.000194
qt,0.000196,0.000196
qt,0.000196,0.000196
qt,0.000237,0.000237
qt,0.000208,0.000208
qt,0.000183,0.000183
qt,0.000181,0.000181
qt,0.000195,0.000195
qt,0.000196,0.000196
qt,0.000208,0.000208
qt,0.000204,0.000204
qt,0.00023,0.00023
qt,0.000196,0.000196
qt,0.000196,0.000196
qt,0.000209,0.000209
qt,0.000197,0.000197
qt,0.000207,0.000207
qt,0.000182,0.000182
qt,0.000196,0.000196
qt,0.000203,0.000203
qt,0.000198,0.000198
qt,0.000197,0.000197
qt,0.000194,0.000194
qt,0.000181,0.000181
qt,0.000206,0.000206
qt,0.000194,0.000194
qt,0.000194,0.000194
qt,0.000193,0.000193
qt,0.000221,0.000221
qt,0.000198,0.000198
qt,0.000193,0.000193
qt,0.00021,0.00021
qt,0.000197,0.000197
qt,0.000194,0.000194
qt,0.00021,0.00021
qt,0.000196,0.000196
qt,0.000249,0.000249
qt,0.000171,0.000171
qt,0.000186,0.000186
qt,0.000202,0.000202
qt,0.000185,0.000185
qt,0.000213,0.000213
qt,0.000193,0.000193
qt,0.000193,0.000193
qt,0.000241,0.000241
qt,0.000195,0.000195
qt,0.000213,0.000213
qt,0.000195,0.000195
qt,0.000182,0.000182
qt,0.000196,0.000196
qt,0.000196,0.000196
qt,0.0002,0.0002
qt,0.000204,0.000204
qt,0.000202,0.000202
qt,0.000196,0.000196
qt,0.000194,0.000194
qt,0.0002,0.0002
qt,0.000197,0.000197
qt,0.000196,0.000196
qt,0.000181,0.000181
qt,0.000181,0.000181
qt,0.000222,0.000222
qt,0.000204,0.000204
qt,0.000181,0.000181
qt,0.000198,0.000198
qt,0.000195,0.000195
qt,0.000203,0.000203
qt,0.000183,0.000183
qt,0.000185,0.000185
qt,0.000215,0.000215
qt,0.000196,0.000196
qt,0.000188,0.000188
