dataset,rtimeinst,rtime3,rtime2000
openstack,95.810921,31.936974,0.053501
openstack,117.669636,39.223212,0.062777
openstack,108.21761,36.072537,0.05969
openstack,101.010702,33.670234,0.056495
openstack,120.122017,40.040672,0.063047
openstack,91.951934,30.650645,0.050497
openstack,69.58024,23.193413,0.038681
openstack,85.046662,28.348887,0.046868
openstack,126.932431,42.31081,0.068006
openstack,76.350578,25.450193,0.043285
openstack,91.239749,30.41325,0.047885
openstack,80.618552,26.872851,0.044479
openstack,121.225886,40.408629,0.064269
openstack,59.195883,19.731961,0.03299
openstack,76.13637,25.37879,0.04254
openstack,129.072377,43.024126,0.069335
openstack,78.332036,26.110679,0.043929
openstack,102.981643,34.327214,0.056622
openstack,82.878362,27.626121,0.045676
openstack,84.029371,28.00979,0.046627
openstack,86.667048,28.889016,0.047694
openstack,112.399396,37.466465,0.061155
openstack,93.192396,31.064132,0.051832
openstack,108.207597,36.069199,0.058114
openstack,34.848585,11.616195,0.019168
openstack,126.159504,42.053168,0.070206
openstack,121.773379,40.591126,0.066774
openstack,81.562717,27.187572,0.044755
openstack,113.775959,37.92532,0.063375
openstack,134.548464,44.849488,0.071455
openstack,85.352259,28.450753,0.047755
openstack,115.635865,38.545288,0.061754
openstack,110.025149,36.67505,0.059909
openstack,58.75131,19.58377,0.031315
openstack,106.415965,35.471988,0.057749
openstack,100.142071,33.38069,0.053452
openstack,101.452996,33.817665,0.055218
openstack,113.598154,37.866051,0.062697
openstack,84.137736,28.045912,0.046662
openstack,76.919551,25.63985,0.044415
openstack,106.485987,35.495329,0.057484
openstack,81.959487,27.319829,0.046594
openstack,110.653606,36.884535,0.059455
openstack,94.457315,31.485772,0.050425
openstack,94.661644,31.553881,0.052784
openstack,129.15798,43.05266,0.067731
openstack,91.727266,30.575755,0.051132
openstack,94.194664,31.398221,0.051587
openstack,110.027262,36.675754,0.060005
openstack,97.861614,32.620538,0.054289
openstack,76.761931,25.58731,0.041954
openstack,101.725652,33.908551,0.05671
openstack,94.088614,31.362871,0.051425
openstack,91.418428,30.472809,0.050886
openstack,96.086164,32.028721,0.04986
openstack,30.826348,10.275449,0.017274
openstack,107.722695,35.907565,0.057177
openstack,95.87057,31.956857,0.052702
openstack,87.73376,29.244587,0.049122
openstack,119.712504,39.904168,0.062334
openstack,97.103168,32.367723,0.052033
openstack,79.441285,26.480428,0.043589
openstack,110.720608,36.906869,0.05973
openstack,117.189226,39.063075,0.062233
openstack,104.949185,34.983062,0.056913
openstack,92.927728,30.975909,0.051962
openstack,30.181788,10.060596,0.016767
openstack,111.082237,37.027412,0.059123
openstack,82.404857,27.468286,0.046478
openstack,115.989211,38.66307,0.063746
openstack,102.829918,34.276639,0.056702
openstack,118.322908,39.440969,0.061801
openstack,107.53939,35.846463,0.058896
openstack,60.782125,20.260708,0.034516
openstack,113.083346,37.694449,0.061426
openstack,109.659335,36.553112,0.058257
openstack,60.435503,20.145168,0.033483
openstack,84.775962,28.258654,0.043961
openstack,104.017081,34.67236,0.057723
openstack,75.195492,25.065164,0.042002
openstack,99.397675,33.132558,0.055565
openstack,74.369918,24.789973,0.041046
openstack,107.858243,35.952748,0.057723
openstack,7.790462,2.596821,0.004165
openstack,90.198174,30.066058,0.049205
openstack,56.502334,18.834111,0.031153
openstack,8.190878,2.730293,0.00444
openstack,69.894005,23.298002,0.038433
openstack,64.94163,21.64721,0.036019
openstack,82.521221,27.507074,0.046061
openstack,110.751963,36.917321,0.058689
openstack,103.608659,34.53622,0.054253
openstack,111.867656,37.289219,0.05941
openstack,99.153318,33.051106,0.053936
openstack,60.65292,20.21764,0.034256
openstack,100.588023,33.529341,0.052106
openstack,92.972916,30.990972,0.05115
openstack,93.680193,31.226731,0.049403
openstack,108.723978,36.241326,0.057193
openstack,75.533503,25.177834,0.041197
openstack,99.016701,33.005567,0.05206
openstack,70.460992,23.486997,0.038426
openstack,110.699077,36.899692,0.058174
openstack,130.529909,43.50997,0.069046
openstack,104.493361,34.83112,0.05521
openstack,89.305226,29.768409,0.05019
openstack,92.018443,30.672814,0.051296
openstack,97.564088,32.521363,0.051954
openstack,76.191645,25.397215,0.042395
openstack,96.636856,32.212285,0.051622
openstack,57.212478,19.070826,0.031613
openstack,113.279352,37.759784,0.059845
openstack,74.313258,24.771086,0.038631
openstack,77.836309,25.945436,0.042125
openstack,91.98797,30.662657,0.049191
openstack,62.003929,20.667976,0.034838
openstack,97.661445,32.553815,0.054783
openstack,106.256926,35.418975,0.057903
openstack,120.884257,40.294752,0.064228
openstack,97.023183,32.341061,0.050463
openstack,114.065223,38.021741,0.061491
openstack,56.807038,18.935679,0.031419
openstack,93.230821,31.07694,0.050403
openstack,87.0471,29.0157,0.048698
openstack,73.010361,24.336787,0.041457
openstack,128.061723,42.687241,0.068174
openstack,94.534998,31.511666,0.050883
openstack,102.550518,34.183506,0.054971
openstack,80.557992,26.852664,0.04231
openstack,78.91586,26.305287,0.043492
openstack,86.734289,28.91143,0.047524
openstack,101.705258,33.901753,0.056457
openstack,79.522907,26.507636,0.045951
openstack,112.800251,37.600084,0.059061
openstack,82.371889,27.457296,0.046217
openstack,64.227202,21.409067,0.036241
openstack,78.818602,26.272867,0.044037
openstack,93.993634,31.331211,0.051622
openstack,77.948467,25.982822,0.041268
openstack,110.240851,36.74695,0.059705
openstack,121.34809,40.449363,0.065712
openstack,101.489821,33.82994,0.053343
openstack,85.671431,28.557144,0.046448
openstack,99.213964,33.071321,0.054193
openstack,97.71403,32.571343,0.055575
openstack,67.370972,22.456991,0.036527
openstack,62.577398,20.859133,0.035064
openstack,114.497371,38.16579,0.06205
openstack,87.789986,29.263329,0.049173
openstack,61.903983,20.634661,0.034238
openstack,91.820079,30.606693,0.051668
openstack,59.230895,19.743632,0.033311
openstack,60.067185,20.022395,0.031228
openstack,89.127796,29.709265,0.049146
openstack,110.608795,36.869598,0.058761
openstack,65.03486,21.678287,0.036092
