dataset,rtimeinst,rtime
openstack,0.035742,0.035742
openstack,0.035607,0.035607
openstack,0.035635,0.035635
openstack,0.035521,0.035521
openstack,0.036027,0.036027
openstack,0.03578,0.03578
openstack,0.035885,0.035885
openstack,0.035629,0.035629
openstack,0.035706,0.035706
openstack,0.035611,0.035611
openstack,0.035527,0.035527
openstack,0.03577,0.03577
openstack,0.035814,0.035814
openstack,0.035573,0.035573
openstack,0.035724,0.035724
openstack,0.035967,0.035967
openstack,0.033822,0.033822
openstack,0.035624,0.035624
openstack,0.035552,0.035552
openstack,0.035554,0.035554
openstack,0.035576,0.035576
openstack,0.035335,0.035335
openstack,0.035597,0.035597
openstack,0.03563,0.03563
openstack,0.035577,0.035577
openstack,0.033866,0.033866
openstack,0.034072,0.034072
openstack,0.035648,0.035648
openstack,0.035665,0.035665
openstack,0.035652,0.035652
openstack,0.033483,0.033483
openstack,0.035408,0.035408
openstack,0.0354,0.0354
openstack,0.035309,0.035309
openstack,0.035267,0.035267
openstack,0.035329,0.035329
openstack,0.035459,0.035459
openstack,0.035805,0.035805
openstack,0.035566,0.035566
openstack,0.035477,0.035477
openstack,0.035448,0.035448
openstack,0.035378,0.035378
openstack,0.035627,0.035627
openstack,0.035564,0.035564
openstack,0.035236,0.035236
openstack,0.035456,0.035456
openstack,0.035594,0.035594
openstack,0.035562,0.035562
openstack,0.03584,0.03584
openstack,0.033628,0.033628
openstack,0.03578,0.03578
openstack,0.035683,0.035683
openstack,0.033624,0.033624
openstack,0.035629,0.035629
openstack,0.035671,0.035671
openstack,0.03557,0.03557
openstack,0.035725,0.035725
openstack,0.035608,0.035608
openstack,0.035534,0.035534
openstack,0.035656,0.035656
openstack,0.035454,0.035454
openstack,0.035399,0.035399
openstack,0.035545,0.035545
openstack,0.035549,0.035549
openstack,0.035579,0.035579
openstack,0.035507,0.035507
openstack,0.035669,0.035669
openstack,0.0357,0.0357
openstack,0.035519,0.035519
openstack,0.035597,0.035597
openstack,0.035729,0.035729
openstack,0.035821,0.035821
openstack,0.035769,0.035769
openstack,0.035836,0.035836
openstack,0.035645,0.035645
openstack,0.035704,0.035704
openstack,0.035532,0.035532
openstack,0.0355,0.0355
openstack,0.035694,0.035694
openstack,0.033578,0.033578
openstack,0.035678,0.035678
openstack,0.035988,0.035988
openstack,0.035459,0.035459
openstack,0.035437,0.035437
openstack,0.035634,0.035634
openstack,0.035862,0.035862
openstack,0.03384,0.03384
openstack,0.033929,0.033929
openstack,0.035618,0.035618
openstack,0.035905,0.035905
openstack,0.035728,0.035728
openstack,0.03573,0.03573
openstack,0.035946,0.035946
openstack,0.035513,0.035513
openstack,0.035558,0.035558
openstack,0.035747,0.035747
openstack,0.03565,0.03565
openstack,0.035594,0.035594
openstack,0.035517,0.035517
openstack,0.035536,0.035536
openstack,0.035522,0.035522
openstack,0.035744,0.035744
openstack,0.03571,0.03571
openstack,0.035987,0.035987
openstack,0.035633,0.035633
openstack,0.035773,0.035773
openstack,0.035878,0.035878
openstack,0.036152,0.036152
openstack,0.036039,0.036039
openstack,0.035855,0.035855
openstack,0.036138,0.036138
openstack,0.03606,0.03606
openstack,0.036122,0.036122
openstack,0.036074,0.036074
openstack,0.036787,0.036787
openstack,0.036373,0.036373
openstack,0.034706,0.034706
openstack,0.036351,0.036351
openstack,0.03659,0.03659
openstack,0.036403,0.036403
openstack,0.036332,0.036332
openstack,0.036512,0.036512
openstack,0.036448,0.036448
openstack,0.036362,0.036362
openstack,0.036309,0.036309
openstack,0.036756,0.036756
openstack,0.036347,0.036347
openstack,0.03646,0.03646
openstack,0.036344,0.036344
openstack,0.036276,0.036276
openstack,0.036321,0.036321
openstack,0.036628,0.036628
openstack,0.036389,0.036389
openstack,0.036346,0.036346
openstack,0.036744,0.036744
openstack,0.036664,0.036664
openstack,0.036976,0.036976
openstack,0.036697,0.036697
openstack,0.036836,0.036836
openstack,0.036737,0.036737
openstack,0.036479,0.036479
openstack,0.03664,0.03664
openstack,0.036576,0.036576
openstack,0.036367,0.036367
openstack,0.036509,0.036509
openstack,0.036581,0.036581
openstack,0.034674,0.034674
openstack,0.036762,0.036762
openstack,0.036331,0.036331
openstack,0.036397,0.036397
openstack,0.036477,0.036477
openstack,0.036474,0.036474
openstack,0.034379,0.034379
openstack,0.036575,0.036575
openstack,0.036619,0.036619
openstack,0.036721,0.036721
openstack,0.036551,0.036551
openstack,0.034934,0.034934
openstack,0.036955,0.036955
openstack,0.036829,0.036829
openstack,0.03683,0.03683
openstack,0.036724,0.036724
openstack,0.036955,0.036955
openstack,0.036738,0.036738
openstack,0.036533,0.036533
openstack,0.036929,0.036929
openstack,0.036767,0.036767
openstack,0.036768,0.036768
openstack,0.036812,0.036812
openstack,0.035035,0.035035
openstack,0.036833,0.036833
openstack,0.036833,0.036833
openstack,0.036907,0.036907
openstack,0.036528,0.036528
openstack,0.036766,0.036766
openstack,0.036659,0.036659
openstack,0.036945,0.036945
openstack,0.034701,0.034701
openstack,0.03671,0.03671
openstack,0.036695,0.036695
openstack,0.036867,0.036867
openstack,0.036627,0.036627
openstack,0.036617,0.036617
openstack,0.036626,0.036626
openstack,0.036573,0.036573
openstack,0.036585,0.036585
openstack,0.036452,0.036452
openstack,0.036707,0.036707
openstack,0.036582,0.036582
openstack,0.036673,0.036673
openstack,0.036603,0.036603
openstack,0.034958,0.034958
openstack,0.036736,0.036736
openstack,0.036687,0.036687
openstack,0.03673,0.03673
openstack,0.036526,0.036526
openstack,0.034884,0.034884
openstack,0.034769,0.034769
openstack,0.036711,0.036711
openstack,0.036676,0.036676
openstack,0.036872,0.036872
openstack,0.036748,0.036748
openstack,0.03693,0.03693
openstack,0.036805,0.036805
openstack,0.036824,0.036824
openstack,0.0348,0.0348
openstack,0.036919,0.036919
openstack,0.036715,0.036715
openstack,0.036667,0.036667
openstack,0.036754,0.036754
openstack,0.036847,0.036847
openstack,0.036643,0.036643
openstack,0.036509,0.036509
openstack,0.037007,0.037007
openstack,0.036582,0.036582
openstack,0.036734,0.036734
openstack,0.036687,0.036687
openstack,0.036778,0.036778
openstack,0.036797,0.036797
openstack,0.036633,0.036633
openstack,0.036761,0.036761
openstack,0.036736,0.036736
openstack,0.036534,0.036534
openstack,0.036714,0.036714
openstack,0.034932,0.034932
openstack,0.036604,0.036604
openstack,0.036639,0.036639
openstack,0.036654,0.036654
openstack,0.036668,0.036668
openstack,0.036856,0.036856
openstack,0.036615,0.036615
openstack,0.036828,0.036828
openstack,0.036592,0.036592
openstack,0.036875,0.036875
openstack,0.036746,0.036746
openstack,0.037145,0.037145
openstack,0.036803,0.036803
openstack,0.034867,0.034867
openstack,0.034696,0.034696
openstack,0.036703,0.036703
openstack,0.036722,0.036722
openstack,0.036896,0.036896
openstack,0.034677,0.034677
openstack,0.036623,0.036623
openstack,0.037106,0.037106
openstack,0.03695,0.03695
openstack,0.035314,0.035314
openstack,0.036814,0.036814
openstack,0.034963,0.034963
openstack,0.03774,0.03774
openstack,0.036748,0.036748
openstack,0.036729,0.036729
openstack,0.036698,0.036698
openstack,0.036786,0.036786
openstack,0.036665,0.036665
openstack,0.036669,0.036669
openstack,0.036557,0.036557
openstack,0.036714,0.036714
openstack,0.036422,0.036422
openstack,0.036487,0.036487
openstack,0.036535,0.036535
openstack,0.036578,0.036578
openstack,0.036463,0.036463
openstack,0.036269,0.036269
openstack,0.036715,0.036715
openstack,0.036817,0.036817
openstack,0.036354,0.036354
openstack,0.036649,0.036649
openstack,0.036789,0.036789
openstack,0.036636,0.036636
openstack,0.036582,0.036582
openstack,0.036563,0.036563
openstack,0.036466,0.036466
openstack,0.036271,0.036271
openstack,0.036623,0.036623
openstack,0.036871,0.036871
openstack,0.037792,0.037792
openstack,0.036886,0.036886
openstack,0.036725,0.036725
openstack,0.037024,0.037024
openstack,0.036648,0.036648
openstack,0.036645,0.036645
openstack,0.036889,0.036889
openstack,0.036681,0.036681
openstack,0.036594,0.036594
openstack,0.036676,0.036676
openstack,0.036956,0.036956
openstack,0.036736,0.036736
openstack,0.036696,0.036696
openstack,0.037081,0.037081
openstack,0.036882,0.036882
openstack,0.034911,0.034911
openstack,0.036376,0.036376
openstack,0.036706,0.036706
