dataset,axprtimeinst,axprtime,cxprtimeinst,cxprtime
openstack,3.393998,0.130538,19.178836,0.491765
openstack,8.72913,0.140792,46.055008,0.575688
openstack,1.511314,0.047229,15.429215,0.395621
openstack,0.104075,0.034692,0.684352,0.057029
openstack,6.350491,0.105842,43.339475,0.570256
openstack,0.013295,0.013295,0.323743,0.024903
openstack,0.489468,0.032631,4.874359,0.147708
openstack,0.225517,0.056379,1.670888,0.111393
openstack,1.258184,0.074011,8.844868,0.260143
openstack,6.937079,0.038326,66.153265,0.286378
openstack,6.96798,0.105575,59.528085,0.684231
openstack,7.677255,0.051873,52.15282,0.263398
openstack,0.013629,0.013629,0.492444,0.03788
openstack,0.073866,0.036933,0.387882,0.032324
openstack,6.763459,0.161035,26.244416,0.477171
openstack,0.292708,0.036589,3.678245,0.126836
openstack,1.661318,0.166132,5.045361,0.315335
openstack,0.63151,0.042101,4.560246,0.152008
openstack,0.102409,0.034136,0.636668,0.053056
openstack,7.448109,0.152002,53.480266,0.922074
openstack,4.59694,0.120972,26.462786,0.464259
openstack,2.774059,0.074975,17.494601,0.437365
openstack,0.096244,0.032081,0.653285,0.05444
openstack,1.528981,0.109213,9.973211,0.453328
openstack,5.273652,0.057952,54.45074,0.513686
openstack,9.525394,0.194396,37.627352,0.616842
openstack,0.125392,0.041797,0.537078,0.048825
openstack,5.011417,0.125285,19.827491,0.421862
openstack,4.20658,0.120188,18.078666,0.451967
openstack,0.038408,0.038408,0.309061,0.028096
openstack,14.966009,0.166289,59.730018,0.543
openstack,2.576513,0.066064,18.905648,0.35671
openstack,1.552549,0.110896,6.680063,0.222669
openstack,1.453603,0.066073,11.622503,0.276726
openstack,11.011005,0.180508,46.626335,0.638717
openstack,0.923475,0.061565,5.869477,0.326082
openstack,5.427651,0.123356,33.438994,0.66878
openstack,1.610843,0.10739,7.46821,0.298728
openstack,7.099245,0.037364,71.303431,0.288678
openstack,3.764822,0.083663,29.307656,0.424749
openstack,3.483378,0.129014,18.712612,0.603633
openstack,6.552613,0.15982,36.214887,0.670646
openstack,0.370873,0.041208,4.589699,0.191237
openstack,0.060172,0.060172,0.257473,0.025747
openstack,1.622602,0.054087,13.610385,0.219522
openstack,0.131118,0.032779,1.005985,0.071856
openstack,0.272691,0.090897,1.090576,0.08389
openstack,0.254338,0.036334,1.631984,0.11657
openstack,0.96798,0.107553,5.831524,0.388768
openstack,0.616582,0.029361,7.264149,0.234327
openstack,0.932515,0.04908,10.421803,0.336187
openstack,0.587938,0.09799,4.153865,0.319528
openstack,2.09142,0.056525,17.894246,0.298237
openstack,6.81161,0.109865,41.169238,0.47321
openstack,0.250879,0.03584,2.136698,0.079137
openstack,6.236286,0.097442,51.710894,0.615606
openstack,0.438787,0.029252,5.192712,0.152727
openstack,0.0559,0.02795,0.546709,0.045559
openstack,4.070258,0.107112,19.836966,0.50864
openstack,0.550108,0.039293,5.844888,0.224803
openstack,1.731751,0.091145,8.528909,0.387678
openstack,0.290679,0.036335,1.713258,0.107079
openstack,0.19226,0.038452,1.368446,0.085528
openstack,0.451607,0.075268,1.266531,0.140726
openstack,1.326137,0.042779,12.516473,0.240701
openstack,2.009522,0.154579,12.373401,0.727847
openstack,0.136765,0.034191,0.959768,0.068555
openstack,1.22721,0.042318,12.565155,0.205986
openstack,0.48504,0.016168,8.550138,0.171003
openstack,5.269548,0.150559,19.535811,0.3686
openstack,1.543505,0.046773,12.458784,0.276862
openstack,0.459837,0.025547,5.219448,0.186409
openstack,0.929746,0.038739,11.310947,0.290024
openstack,0.02517,0.02517,0.350267,0.029189
