dataset,rtimeinst,rtime
openstack,0.01052,0.01052
openstack,0.010454,0.010454
openstack,0.010427,0.010427
openstack,0.01045,0.01045
openstack,0.010529,0.010529
openstack,0.01047,0.01047
openstack,0.010424,0.010424
openstack,0.010376,0.010376
openstack,0.010428,0.010428
openstack,0.010442,0.010442
openstack,0.010548,0.010548
openstack,0.010496,0.010496
openstack,0.010425,0.010425
openstack,0.010363,0.010363
openstack,0.010389,0.010389
openstack,0.010438,0.010438
openstack,0.010476,0.010476
openstack,0.010427,0.010427
openstack,0.010457,0.010457
openstack,0.01046,0.01046
openstack,0.010413,0.010413
openstack,0.010278,0.010278
openstack,0.01042,0.01042
openstack,0.01039,0.01039
openstack,0.010487,0.010487
openstack,0.01036,0.01036
openstack,0.010563,0.010563
openstack,0.01046,0.01046
openstack,0.010349,0.010349
openstack,0.010477,0.010477
openstack,0.010322,0.010322
openstack,0.01035,0.01035
openstack,0.010417,0.010417
openstack,0.01046,0.01046
openstack,0.010448,0.010448
openstack,0.010393,0.010393
openstack,0.010431,0.010431
openstack,0.010467,0.010467
openstack,0.010308,0.010308
openstack,0.010356,0.010356
openstack,0.010425,0.010425
openstack,0.010377,0.010377
openstack,0.010426,0.010426
openstack,0.010531,0.010531
openstack,0.010503,0.010503
openstack,0.010424,0.010424
openstack,0.010541,0.010541
openstack,0.01061,0.01061
openstack,0.01042,0.01042
openstack,0.01056,0.01056
openstack,0.010479,0.010479
openstack,0.010517,0.010517
openstack,0.010398,0.010398
openstack,0.010513,0.010513
openstack,0.010459,0.010459
openstack,0.010481,0.010481
openstack,0.01053,0.01053
openstack,0.010308,0.010308
openstack,0.010406,0.010406
openstack,0.010409,0.010409
openstack,0.010461,0.010461
openstack,0.010472,0.010472
openstack,0.010302,0.010302
openstack,0.01056,0.01056
openstack,0.010347,0.010347
openstack,0.010433,0.010433
openstack,0.010467,0.010467
openstack,0.010487,0.010487
openstack,0.010498,0.010498
openstack,0.010383,0.010383
openstack,0.010417,0.010417
openstack,0.010379,0.010379
openstack,0.010447,0.010447
openstack,0.010472,0.010472
openstack,0.010508,0.010508
openstack,0.010404,0.010404
openstack,0.010505,0.010505
openstack,0.010492,0.010492
openstack,0.010473,0.010473
openstack,0.010425,0.010425
openstack,0.010479,0.010479
openstack,0.010442,0.010442
openstack,0.010498,0.010498
openstack,0.01032,0.01032
openstack,0.010417,0.010417
openstack,0.01035,0.01035
openstack,0.010491,0.010491
openstack,0.010414,0.010414
openstack,0.010398,0.010398
openstack,0.010491,0.010491
openstack,0.010286,0.010286
openstack,0.010347,0.010347
openstack,0.010388,0.010388
openstack,0.010387,0.010387
openstack,0.010334,0.010334
openstack,0.010362,0.010362
openstack,0.010471,0.010471
openstack,0.010373,0.010373
openstack,0.010436,0.010436
openstack,0.01034,0.01034
openstack,0.010485,0.010485
openstack,0.010347,0.010347
openstack,0.010457,0.010457
openstack,0.010588,0.010588
openstack,0.010304,0.010304
openstack,0.010328,0.010328
openstack,0.010374,0.010374
openstack,0.010404,0.010404
openstack,0.010234,0.010234
openstack,0.010374,0.010374
openstack,0.010371,0.010371
openstack,0.010422,0.010422
openstack,0.010407,0.010407
