dataset,axprtimeinst,axprtime,cxprtimeinst,cxprtime
openstack,0.002341,0.002341,0.004093,0.000682
openstack,0.002283,0.002283,0.005168,0.000646
openstack,0.002207,0.002207,0.003968,0.000661
openstack,0.002342,0.002342,0.00643,0.000643
openstack,0.002339,0.002339,0.003294,0.000659
openstack,0.008112,0.002028,0.008287,0.000921
openstack,0.004403,0.002202,0.008915,0.000743
openstack,0.002358,0.002358,0.0041,0.000683
openstack,0.004211,0.002106,0.004307,0.000718
openstack,0.00231,0.00231,0.003407,0.000681
openstack,0.006285,0.002095,0.005957,0.000745
openstack,0.002308,0.002308,0.003307,0.000661
openstack,0.002366,0.002366,0.004566,0.000652
openstack,0.013358,0.001908,0.009583,0.000958
openstack,0.006228,0.002076,0.005371,0.000767
openstack,0.00229,0.00229,0.004505,0.000644
openstack,0.002318,0.002318,0.00393,0.000655
openstack,0.006218,0.002073,0.005813,0.000727
openstack,0.016316,0.001813,0.010628,0.000886
openstack,0.002299,0.002299,0.003357,0.000671
openstack,0.002302,0.002302,0.004582,0.000655
openstack,0.004289,0.002144,0.004165,0.000694
openstack,0.00627,0.00209,0.005568,0.000696
openstack,0.004236,0.002118,0.00429,0.000715
openstack,0.007826,0.001957,0.007026,0.000878
openstack,0.002337,0.002337,0.003378,0.000676
openstack,0.006539,0.00218,0.008731,0.000794
openstack,0.00225,0.00225,0.004713,0.000673
openstack,0.002339,0.002339,0.005412,0.000677
openstack,0.011585,0.001931,0.013192,0.000942
openstack,0.002336,0.002336,0.003998,0.000666
openstack,0.004371,0.002186,0.004143,0.00069
openstack,0.006225,0.002075,0.008735,0.000794
openstack,0.004412,0.002206,0.004671,0.000779
openstack,0.006332,0.002111,0.004755,0.000793
openstack,0.002383,0.002383,0.004544,0.000649
openstack,0.004365,0.002182,0.005166,0.000738
openstack,0.002466,0.002466,0.004086,0.000681
openstack,0.002316,0.002316,0.003418,0.000684
openstack,0.006314,0.002105,0.004789,0.000798
openstack,0.006178,0.002059,0.009395,0.000854
openstack,0.002356,0.002356,0.003902,0.00065
openstack,0.002389,0.002389,0.004717,0.000674
openstack,0.014847,0.001856,0.01548,0.001032
openstack,0.004384,0.002192,0.00674,0.000674
openstack,0.028252,0.001766,0.021756,0.001036
openstack,0.004537,0.002269,0.007586,0.00069
openstack,0.002295,0.002295,0.002673,0.000668
openstack,0.018319,0.001832,0.013963,0.001074
openstack,0.00451,0.002255,0.006666,0.000741
openstack,0.002381,0.002381,0.003923,0.000654
openstack,0.006461,0.002154,0.00712,0.000712
openstack,0.002375,0.002375,0.004011,0.000669
openstack,0.004302,0.002151,0.00517,0.000739
openstack,0.006565,0.002188,0.00772,0.000643
openstack,0.00238,0.00238,0.004068,0.000678
openstack,0.017074,0.001897,0.018793,0.001044
openstack,0.004458,0.002229,0.008009,0.000667
openstack,0.002376,0.002376,0.003954,0.000659
openstack,0.016354,0.001817,0.015349,0.001096
openstack,0.006387,0.002129,0.005435,0.000776
openstack,0.002358,0.002358,0.003991,0.000665
openstack,0.010026,0.002005,0.011618,0.000968
openstack,0.00435,0.002175,0.0044,0.000733
openstack,0.002312,0.002312,0.003948,0.000658
openstack,0.002305,0.002305,0.004027,0.000671
openstack,0.002344,0.002344,0.004687,0.00067
openstack,0.002371,0.002371,0.005279,0.00066
openstack,0.013286,0.001898,0.014661,0.000977
openstack,0.008052,0.002013,0.007835,0.000783
openstack,0.002419,0.002419,0.003961,0.00066
openstack,0.009431,0.001572,0.006963,0.00087
openstack,0.002391,0.002391,0.003408,0.000682
openstack,0.006453,0.002151,0.00752,0.000752
openstack,0.008274,0.002069,0.006931,0.00077
openstack,0.013295,0.001899,0.010509,0.000955
openstack,0.004241,0.002121,0.004142,0.00069
openstack,0.004391,0.002196,0.006672,0.000741
openstack,0.002368,0.002368,0.005271,0.000659
openstack,0.002401,0.002401,0.004642,0.000663
openstack,0.002357,0.002357,0.003376,0.000675
openstack,0.002369,0.002369,0.00205,0.000683
openstack,0.002466,0.002466,0.006554,0.000655
openstack,0.018723,0.001872,0.015749,0.000984
openstack,0.002338,0.002338,0.003367,0.000673
openstack,0.010043,0.002009,0.011538,0.000824
openstack,0.004421,0.00221,0.004315,0.000719
openstack,0.008163,0.002041,0.007756,0.000776
openstack,0.002351,0.002351,0.004637,0.000662
openstack,0.002324,0.002324,0.004044,0.000674
openstack,0.002371,0.002371,0.003457,0.000691
openstack,0.004373,0.002186,0.006465,0.000718
openstack,0.002312,0.002312,0.004688,0.00067
openstack,0.002331,0.002331,0.003959,0.00066
openstack,0.011645,0.001941,0.011867,0.000989
openstack,0.002353,0.002353,0.003388,0.000678
openstack,0.002423,0.002423,0.006555,0.000656
openstack,0.002363,0.002363,0.00398,0.000663
openstack,0.008114,0.002029,0.006148,0.000769
openstack,0.002326,0.002326,0.003297,0.000659
openstack,0.006082,0.002027,0.004875,0.000812
openstack,0.002337,0.002337,0.003348,0.00067
openstack,0.006217,0.002072,0.005319,0.00076
openstack,0.002341,0.002341,0.003988,0.000665
openstack,0.01186,0.001977,0.014315,0.000954
openstack,0.01497,0.001871,0.011677,0.001062
openstack,0.007921,0.00198,0.005168,0.000738
openstack,0.002318,0.002318,0.003936,0.000656
openstack,0.002334,0.002334,0.0033,0.00066
openstack,0.017885,0.001788,0.013707,0.001054
openstack,0.002387,0.002387,0.003913,0.000652
openstack,0.002269,0.002269,0.003941,0.000657
openstack,0.016655,0.001851,0.014615,0.000974
openstack,0.002318,0.002318,0.003955,0.000659
openstack,0.021463,0.001789,0.014765,0.001055
openstack,0.004269,0.002135,0.006768,0.000677
openstack,0.002294,0.002294,0.003966,0.000661
openstack,0.011307,0.001884,0.006789,0.000849
openstack,0.002353,0.002353,0.004036,0.000673
openstack,0.006323,0.002108,0.009259,0.000842
openstack,0.002294,0.002294,0.004561,0.000652
openstack,0.009527,0.001905,0.005626,0.000804
openstack,0.009955,0.001991,0.007549,0.000839
openstack,0.002344,0.002344,0.004007,0.000668
openstack,0.002311,0.002311,0.003386,0.000677
openstack,0.002306,0.002306,0.00212,0.000707
openstack,0.00619,0.002063,0.004648,0.000775
openstack,0.002341,0.002341,0.003968,0.000661
openstack,0.002316,0.002316,0.003983,0.000664
openstack,0.00233,0.00233,0.004023,0.00067
openstack,0.009822,0.001964,0.008028,0.000892
openstack,0.002323,0.002323,0.004101,0.000683
openstack,0.008124,0.002031,0.007149,0.000715
openstack,0.027286,0.001705,0.017974,0.001123
openstack,0.002351,0.002351,0.003968,0.000661
openstack,0.002364,0.002364,0.004609,0.000658
openstack,0.002383,0.002383,0.004045,0.000674
openstack,0.00237,0.00237,0.004651,0.000664
openstack,0.00243,0.00243,0.00399,0.000665
openstack,0.002326,0.002326,0.003707,0.000618
openstack,0.002396,0.002396,0.005319,0.000665
openstack,0.002398,0.002398,0.004021,0.00067
openstack,0.011783,0.001964,0.009479,0.000862
openstack,0.004351,0.002176,0.004218,0.000703
openstack,0.002297,0.002297,0.002073,0.000345
openstack,0.00811,0.002028,0.005098,0.000728
openstack,0.002485,0.002485,0.006595,0.000659
openstack,0.015465,0.001933,0.016761,0.001117
openstack,0.008101,0.002025,0.005777,0.000825
openstack,0.008099,0.002025,0.007823,0.000869
openstack,0.009627,0.001925,0.00454,0.000757
openstack,0.004379,0.002189,0.008512,0.000774
openstack,0.014509,0.001814,0.009605,0.000961
openstack,0.002284,0.002284,0.003991,0.000665
openstack,0.006396,0.002132,0.006235,0.000693
openstack,0.025334,0.001689,0.01865,0.001435
openstack,0.006298,0.002099,0.00919,0.000919
openstack,0.007861,0.001965,0.009096,0.00091
openstack,0.006568,0.002189,0.008934,0.000687
openstack,0.014938,0.001867,0.010241,0.000931
openstack,0.002396,0.002396,0.004714,0.000673
openstack,0.002346,0.002346,0.004663,0.000666
openstack,0.002332,0.002332,0.003991,0.000665
openstack,0.002324,0.002324,0.003287,0.000657
openstack,0.002307,0.002307,0.00332,0.000664
openstack,0.002317,0.002317,0.003945,0.000657
openstack,0.006059,0.00202,0.006492,0.000812
openstack,0.002313,0.002313,0.003308,0.000662
openstack,0.009901,0.00198,0.012688,0.000906
openstack,0.002333,0.002333,0.004018,0.00067
openstack,0.002318,0.002318,0.003969,0.000662
openstack,0.002325,0.002325,0.004578,0.000654
openstack,0.018063,0.001806,0.018168,0.001069
openstack,0.006296,0.002099,0.00678,0.000753
openstack,0.009942,0.001988,0.007044,0.000783
openstack,0.009694,0.001939,0.00632,0.000702
openstack,0.002346,0.002346,0.003884,0.000647
openstack,0.002372,0.002372,0.004574,0.000653
openstack,0.002374,0.002374,0.005798,0.000644
openstack,0.011286,0.001881,0.011114,0.001111
openstack,0.00637,0.002123,0.008669,0.000788
openstack,0.006107,0.002036,0.004493,0.000749
openstack,0.002345,0.002345,0.003961,0.00066
openstack,0.002379,0.002379,0.003934,0.000656
openstack,0.006203,0.002068,0.00367,0.000734
openstack,0.016128,0.001792,0.010385,0.001038
openstack,0.002316,0.002316,0.003961,0.00066
openstack,0.002281,0.002281,0.003944,0.000657
openstack,0.003389,0.001695,0.0055,0.000611
openstack,0.015284,0.00191,0.014943,0.000996
openstack,0.002379,0.002379,0.004734,0.000676
openstack,0.002337,0.002337,0.004006,0.000668
openstack,0.002384,0.002384,0.004634,0.000662
openstack,0.015444,0.001931,0.015466,0.00091
openstack,0.008217,0.002054,0.007962,0.000796
openstack,0.006291,0.002097,0.007924,0.000792
openstack,0.00782,0.001955,0.005639,0.000806
openstack,0.006111,0.002037,0.004589,0.000765
openstack,0.002356,0.002356,0.003398,0.00068
openstack,0.002357,0.002357,0.003956,0.000659
openstack,0.008159,0.00204,0.007001,0.000778
openstack,0.004286,0.002143,0.004251,0.000709
openstack,0.009742,0.001948,0.007994,0.000888
openstack,0.01186,0.001977,0.010481,0.000953
openstack,0.004331,0.002166,0.005177,0.00074
openstack,0.002325,0.002325,0.003347,0.000669
openstack,0.002321,0.002321,0.003893,0.000433
openstack,0.002366,0.002366,0.004587,0.000655
openstack,0.00233,0.00233,0.00396,0.00066
openstack,0.00972,0.001944,0.006759,0.000845
openstack,0.002343,0.002343,0.003347,0.000669
openstack,0.002356,0.002356,0.004607,0.000658
openstack,0.006461,0.002154,0.008592,0.000781
openstack,0.01366,0.001707,0.006527,0.001088
openstack,0.002356,0.002356,0.004567,0.000652
openstack,0.003263,0.001632,0.003215,0.000536
openstack,0.002427,0.002427,0.005218,0.000652
openstack,0.002299,0.002299,0.003965,0.000661
openstack,0.004383,0.002192,0.005135,0.000734
openstack,0.008091,0.002023,0.006765,0.000846
openstack,0.00238,0.00238,0.003976,0.000663
openstack,0.002309,0.002309,0.004585,0.000655
openstack,0.002404,0.002404,0.004643,0.000663
