dataset,rtimeinst,rtime
openstack,0.023263,0.023263
openstack,0.025928,0.025928
openstack,0.032683,0.032683
openstack,0.029579,0.029579
openstack,0.024147,0.024147
openstack,0.023064,0.023064
openstack,0.022514,0.022514
openstack,0.026943,0.026943
openstack,0.031911,0.031911
openstack,0.033724,0.033724
openstack,0.038216,0.038216
openstack,0.032096,0.032096
openstack,0.028807,0.028807
openstack,0.024466,0.024466
openstack,0.032884,0.032884
openstack,0.024344,0.024344
openstack,0.033908,0.033908
openstack,0.034197,0.034197
openstack,0.023156,0.023156
openstack,0.034353,0.034353
openstack,0.024432,0.024432
openstack,0.034556,0.034556
openstack,0.03113,0.03113
openstack,0.030356,0.030356
openstack,0.026326,0.026326
openstack,0.025033,0.025033
openstack,0.035544,0.035544
openstack,0.02546,0.02546
openstack,0.032966,0.032966
openstack,0.023448,0.023448
openstack,0.032977,0.032977
openstack,0.028938,0.028938
openstack,0.025977,0.025977
openstack,0.032163,0.032163
openstack,0.023822,0.023822
openstack,0.029057,0.029057
openstack,0.025002,0.025002
openstack,0.032547,0.032547
openstack,0.037262,0.037262
openstack,0.030322,0.030322
openstack,0.02275,0.02275
openstack,0.030177,0.030177
openstack,0.024987,0.024987
openstack,0.02945,0.02945
openstack,0.029162,0.029162
openstack,0.029522,0.029522
openstack,0.030935,0.030935
openstack,0.027135,0.027135
openstack,0.023276,0.023276
openstack,0.026904,0.026904
openstack,0.031782,0.031782
openstack,0.025707,0.025707
openstack,0.03467,0.03467
openstack,0.024468,0.024468
openstack,0.026009,0.026009
openstack,0.023175,0.023175
openstack,0.026186,0.026186
openstack,0.034788,0.034788
openstack,0.023695,0.023695
openstack,0.030812,0.030812
openstack,0.035046,0.035046
openstack,0.024466,0.024466
openstack,0.030009,0.030009
openstack,0.02687,0.02687
openstack,0.031981,0.031981
openstack,0.022416,0.022416
openstack,0.032131,0.032131
openstack,0.028467,0.028467
openstack,0.023645,0.023645
openstack,0.025701,0.025701
openstack,0.024159,0.024159
openstack,0.029594,0.029594
openstack,0.027182,0.027182
openstack,0.040048,0.040048
openstack,0.022288,0.022288
openstack,0.028376,0.028376
openstack,0.028148,0.028148
openstack,0.03468,0.03468
openstack,0.024025,0.024025
openstack,0.025501,0.025501
openstack,0.024698,0.024698
openstack,0.028125,0.028125
openstack,0.030345,0.030345
openstack,0.033599,0.033599
openstack,0.035162,0.035162
openstack,0.03031,0.03031
openstack,0.022734,0.022734
openstack,0.021394,0.021394
openstack,0.027902,0.027902
openstack,0.02377,0.02377
openstack,0.03588,0.03588
