dataset,inst,f2imprt,error,tau,rbo
openstack,la = 70.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND self = 0.0 AND ndev = 5.0 AND age = 0.2543287037037037 AND app = 2.0 AND rrexp = 791.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511,"{0: 0.08903485126026361, 1: 0.0011522598589398993, 3: 0.010571229941144341, 4: 0.05274218271367997, 6: 6.173708485032239e-06, 7: 0.012519201251009781, 8: 0.016049904789609222, 10: 0.012773279699644188, 11: 0.01752477947356172, 12: 0.0038528367265043156, 2: 0.020742348798784303, 5: 0.02042877639421625, 9: 0.0008032440741728787}",6.994647851364397,0.02564102564102564,0.6046489161781478
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.1078124999999999 AND hcmt = 2.0 AND self = 0.0 AND ndev = 3.0 AND age = 3.9032291666666654 AND app = 1.0 AND asexp = 598.0 AND rsexp = 1725.0 AND asawr = 0.0428990904533409 AND rsawr = 0.1236124042111294,"{0: 0.05881680350583505, 2: 0.006488824786068056, 4: 0.003115379510065475, 5: 0.005412415356501855, 6: 0.010637618286157164, 9: 0.001117264395666943, 10: 0.008162239522075088, 12: 0.007148910730502694, 14: 0.014621534003660924, 15: 0.0017125224524818681, 1: 0.021480134749004034, 3: 0.007482059373217574, 7: 0.024185801483462655, 8: 0.003276337043665901, 11: 0.0069417594756893955, 13: 0.004417835541176628}",7.589965957346125,-0.08333333333333333,0.17047335799598914
openstack,la = 6.0 AND nd = 3.0 AND ns = 1.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND self = 0.0 AND ndev = 7.0 AND age = 3.8489930555555554 AND app = 2.0 AND rrexp = 424.0 AND asawr = 0.7671957671957672 AND rsawr = 0.4497354497354497,"{0: 0.09037698654334711, 4: 0.05733229861365626, 7: 0.011461013724763967, 8: 0.020381323178151178, 9: 0.00034094736037399136, 10: 0.006456044065692861, 11: 0.010883280728391802, 12: 0.008260042400619293, 1: 0.002035466000768267, 2: 0.019608131015531636, 3: 0.007217158238077047, 5: 0.010400091168498465, 6: 0.0004289636228968957}",5.450770311992127,0.1282051282051282,0.38016239519916506
qt,la = 0.0 AND ld = 0.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.1880439814814815 AND hcmt = 1.0 AND self = 0.0 AND ndev = 18.0 AND age = 103.68460648148148 AND app = 2.0 AND asexp = 601.0 AND rsexp = 751.0 AND asawr = 0.0431015966206057 AND rsawr = 0.0538411971074676,"{0: 0.05294211215519712, 2: 0.005450403996918113, 4: 0.005354153547884655, 5: 0.006820849309856379, 6: 0.017233554410918946, 9: 0.005083312432290236, 10: 0.002711135561560737, 12: 0.007237716155963068, 14: 0.013534591616605134, 15: 0.0038315863356499554, 1: 0.023073096408615074, 3: 0.01006171714187828, 7: 0.025461733108094752, 8: 0.0019036639244757792, 11: 0.007651452208991798, 13: 0.0075519328706392455}",6.286694707258083,0.06666666666666667,0.5622844132783633
openstack,la = 121.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND self = 0.0 AND ndev = 11.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942,"{0: 0.08806015247533602, 1: 0.0006266958786416883, 4: 0.05505417389177373, 7: 0.00987259200466254, 8: 0.01826857543907659, 10: 0.006165652337862131, 11: 0.01972539991124713, 2: 0.019610179651097997, 3: 0.003601704597978426, 5: 0.011639046651338403, 6: 0.004121694028003452, 9: 0.0036203132229643466, 12: 0.002532961560563252}",8.335278817961832,-0.38461538461538464,0.46596007686848745
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.0454282407407407 AND hcmt = 2.0 AND self = 0.0 AND ndev = 16.0 AND age = 2.7005787037037035 AND app = 1.0 AND asexp = 610.0 AND rsexp = 1742.0 AND asawr = 0.0436802973977695 AND rsawr = 0.1246068058335716,"{0: 0.06080756953801837, 2: 0.0011875279578622525, 4: 0.007090281057840681, 5: 0.009717439001686225, 6: 0.016776193527590032, 10: 0.012694924281056594, 12: 0.0075008003928931435, 14: 0.012638916626940128, 15: 0.006607008078060635, 1: 0.022696043301618805, 3: 0.007661856175217867, 7: 0.02392790208517674, 8: 0.0021161243707363336, 9: 0.002324484628818168, 11: 0.004829493924123453, 13: 0.00617103500396767}",7.414625268972853,0.16666666666666666,0.40710863758970056
openstack,la = 51.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.3966277727783788 AND nrev = 3.0 AND rtime = 21.98613425925926 AND self = 0.0 AND ndev = 25.0 AND age = 1.7360532407407403 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 AND rsawr = 0.5031011873117136,"{0: 0.08712199260321503, 3: 0.0077818232170718035, 4: 0.056801460126003206, 6: 0.00038253137794117524, 7: 0.008824344963337175, 8: 0.01666538307489134, 10: 0.0002904015092436544, 11: 0.018622585237697067, 1: 0.012147132149532633, 2: 0.017506916913095125, 5: 0.0202152721608361, 9: 0.015489398898716861, 12: 3.7910468818105174e-05}",7.004693701760184,0.0,0.48632141035064186
qt,la = 1.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 1.7273148148148147 AND hcmt = 2.0 AND self = 0.0 AND ndev = 9.0 AND age = 26.981354166666662 AND app = 2.0 AND asexp = 600.0 AND rsexp = 993.0 AND asawr = 0.0429347049578511 AND rsawr = 0.0710101443063294,"{0: 0.06248072521369979, 2: 0.004338230209574563, 4: 0.0032910748308552455, 5: 0.002689290061943468, 6: 0.015525928458512207, 8: 0.003905128888885717, 9: 0.0024052826971483875, 10: 0.006335704005016004, 12: 0.007399693642710312, 14: 0.011265336550970926, 15: 0.001214091756681676, 1: 0.02324707842838059, 3: 0.004344984282789753, 7: 0.021602324950028912, 11: 0.008431768786583227, 13: 0.004763089175194571}",7.502743712907005,0.0,0.16193958393028535
openstack,la = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.2867592592592592 AND self = 0.0 AND ndev = 4.0 AND age = 0.0291435185185185 AND app = 4.0 AND rrexp = 328.0 AND asawr = 0.1968911917098445 AND rsawr = 0.5492227979274611,"{0: 0.08347271856603809, 3: 0.012421967619872116, 4: 0.052794350991797044, 6: 0.0015289573035479412, 7: 0.01144910035660924, 8: 0.017790237706509116, 10: 0.014754050221816204, 11: 0.013834224411390896, 12: 0.005688088455341059, 1: 0.001607846986037045, 2: 0.020157635418956266, 5: 0.016596440290956794, 9: 0.00868194149550144}",4.451059402631425,0.38461538461538464,0.7187666846962045
qt,la = 10.0 AND ld = 6.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 5.547083333333333 AND hcmt = 1.0 AND self = 0.0 AND ndev = 17.0 AND age = 0.2796412037037037 AND app = 2.0 AND asexp = 623.0 AND rsexp = 1947.0 AND asawr = 0.0445300792121601 AND rsawr = 0.1390137729251409,"{0: 0.05582846612608343, 2: 5.5674805760313915e-05, 4: 0.009241573898742394, 5: 0.005257130580767775, 6: 0.018973996135071627, 9: 0.0029347179908113543, 10: 0.007682182382396746, 12: 0.006995314909353351, 14: 0.016936931354763776, 1: 0.02151151321691553, 3: 0.006787093327433867, 7: 0.015962909861834414, 8: 0.0012826401501010239, 11: 0.007966369495243354, 13: 0.008713505996911331, 15: 0.00019204466720784777}",7.6352001953214055,0.0,0.28257911405289
