dataset,inst,f2imprt,error,tau,rbo
openstack,la = 70.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND self = 0.0 AND ndev = 5.0 AND age = 0.2543287037037037 AND app = 2.0 AND rrexp = 791.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511,"{1: 0.00828485271794844, 3: 0.021350727460579803, 4: 0.2919014114163742, 5: 0.0374225079025972, 10: 0.07845772171399658, 12: 0.004085523253608549, 0: 0.012069963037048409, 2: 0.0180896231475855, 6: 0.0009339256458811051, 7: 0.024078643489875887, 8: 0.13133153481505994, 9: 0.1940453602741266, 11: 0.0010293723686443518}",4.556764543080847,-0.1794871794871795,0.510945079143973
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.1078124999999999 AND hcmt = 2.0 AND self = 0.0 AND ndev = 3.0 AND age = 3.9032291666666654 AND app = 1.0 AND asexp = 598.0 AND rsexp = 1725.0 AND asawr = 0.0428990904533409 AND rsawr = 0.1236124042111294,"{0: 0.00961288283198591, 4: 0.0051317449970620065, 5: 0.10343434108184607, 7: 0.060589873774243214, 9: 0.12670627185063915, 12: 0.01279201701967905, 13: 0.4234629032006962, 15: 1.6905621275157915e-05, 1: 0.0004374586686800685, 2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.02402325666912273, 8: 0.0008889861963331942, 10: 0.1667339114517101, 11: 0.0026708069078597903, 14: 0.0001139029518593368}",3.8246853072283136,-0.2,0.4361664642425541
openstack,la = 6.0 AND nd = 3.0 AND ns = 1.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND self = 0.0 AND ndev = 7.0 AND age = 3.8489930555555554 AND app = 2.0 AND rrexp = 424.0 AND asawr = 0.7671957671957672 AND rsawr = 0.4497354497354497,"{0: 0.04785848028111281, 4: 0.2919014114163742, 5: 0.03660797819767357, 10: 0.23308950233285025, 11: 0.006392913687837162, 1: 0.007346944863086359, 2: 0.0180896231475855, 3: 0.0635419878971714, 6: 0.0009339256458811051, 7: 0.02249034246811626, 8: 0.08313392247687733, 9: 0.1940453602741266, 12: 0.0005991153239992543}",3.650760305638027,0.05128205128205128,0.5373886482970589
qt,la = 0.0 AND ld = 0.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.1880439814814815 AND hcmt = 1.0 AND self = 0.0 AND ndev = 18.0 AND age = 103.68460648148148 AND app = 2.0 AND asexp = 601.0 AND rsexp = 751.0 AND asawr = 0.0431015966206057 AND rsawr = 0.0538411971074676,"{0: 0.009772724581769513, 2: 0.001399628737018897, 4: 0.0051317449970620065, 5: 0.10343434108184607, 7: 0.09462912870359333, 10: 1.567315951222278, 11: 0.00043478251988415156, 12: 0.012895306170400472, 13: 0.07818692901984457, 1: 0.0004374586686800685, 3: 0.011011505498844332, 6: 0.023830273934489263, 8: 0.0008889861963331942, 9: 0.11266325935333911, 14: 0.00011309036303933846, 15: 0.0002921024241989479}",3.8814038451878226,-0.15,0.4361664642425541
openstack,la = 121.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND self = 0.0 AND ndev = 11.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942,"{1: 0.00828485271794844, 4: 0.17743026968446277, 5: 0.037229469377551776, 10: 0.06960958167858533, 12: 0.0045270064860387016, 0: 0.05982544130620813, 2: 0.0180896231475855, 3: 0.03934603615626842, 6: 0.0009339256458811051, 7: 0.019313740424597017, 8: 0.06792162819084159, 9: 0.1940453602741266, 11: 0.0006502285657769777}",4.309823064987213,0.23076923076923078,0.629083081835269
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.0454282407407407 AND hcmt = 2.0 AND self = 0.0 AND ndev = 16.0 AND age = 2.7005787037037035 AND app = 1.0 AND asexp = 610.0 AND rsexp = 1742.0 AND asawr = 0.0436802973977695 AND rsawr = 0.1246068058335716,"{0: 0.00961288283198591, 4: 0.0051317449970620065, 5: 0.10343434108184607, 7: 0.060589873774243214, 12: 0.013205173622564738, 13: 0.4294892805734626, 15: 2.1309703052195385e-05, 1: 0.0004374586686800685, 2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.024173311045878988, 8: 0.0008889861963331942, 9: 0.08074732185947534, 10: 0.18763416284397164, 11: 0.0026708069078597903, 14: 0.00011076823237043512}",3.984130949577179,-0.2,0.4361664642425541
openstack,la = 51.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.3966277727783788 AND nrev = 3.0 AND rtime = 21.98613425925926 AND self = 0.0 AND ndev = 25.0 AND age = 1.7360532407407403 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 AND rsawr = 0.5031011873117136,"{2: 0.0180896231475855, 6: 0.0009339256458811051, 7: 0.008195633272279654, 8: 0.11146442683562002, 10: 0.9736282624965691, 11: 0.0007293593504503897, 0: 0.005721293573030703, 1: 0.00828485271794844, 3: 0.00406543153744029, 4: 0.06295912795255129, 5: 0.08681502986179673, 9: 0.5451750598177844, 12: 4.6878684403675694e-05}",5.165064131053479,0.05128205128205128,0.5198736505725445
qt,la = 1.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 1.7273148148148147 AND hcmt = 2.0 AND self = 0.0 AND ndev = 9.0 AND age = 26.981354166666662 AND app = 2.0 AND asexp = 600.0 AND rsexp = 993.0 AND asawr = 0.0429347049578511 AND rsawr = 0.0710101443063294,"{0: 0.00961288283198591, 4: 0.0051317449970620065, 5: 0.015028921353772502, 7: 0.060589873774243214, 9: 0.030958459369047845, 10: 0.23432909813937375, 11: 0.00043478251988415156, 12: 0.01286087645349333, 13: 0.1639741833851075, 1: 0.0003928655322193072, 2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.020127828344889076, 8: 0.0008889861963331942, 14: 0.00011376004288730076, 15: 0.0002160632808760288}",5.203478270051752,0.2,0.4769103210503282
openstack,la = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.2867592592592592 AND self = 0.0 AND ndev = 4.0 AND age = 0.0291435185185185 AND app = 4.0 AND rrexp = 328.0 AND asawr = 0.1968911917098445 AND rsawr = 0.5492227979274611,"{0: 0.052540389915344154, 1: 0.02391665029898324, 3: 0.05164330174816878, 4: 0.2919014114163742, 5: 0.037067449689039425, 9: 0.1755648497718289, 10: 0.27353814249473024, 11: 0.0007337811582829691, 12: 0.0006051822977115109, 2: 0.0180896231475855, 6: 0.0009339256458811051, 7: 0.024872794000755698, 8: 0.13435083987319874}",4.067597018971487,-0.20512820512820512,0.5040006346995286
qt,la = 10.0 AND ld = 6.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 5.547083333333333 AND hcmt = 1.0 AND self = 0.0 AND ndev = 17.0 AND age = 0.2796412037037037 AND app = 2.0 AND asexp = 623.0 AND rsexp = 1947.0 AND asawr = 0.0445300792121601 AND rsawr = 0.1390137729251409,"{0: 0.008174307083933479, 4: 0.0051317449970620065, 5: 0.015028921353772502, 7: 0.09462912870359333, 11: 0.00043478251988415156, 12: 0.013652759942357566, 13: 0.5021603018332927, 15: 8.511637814040582e-05, 1: 0.00016989984991550063, 2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.010940046183086787, 8: 0.0008889861963331942, 9: 0.09670529060640723, 10: 0.22970640570520556, 14: 0.00010735834510063765}",4.119233962603346,-0.2,0.4361664642425541
