dataset,inst,f2imprt,error,tau,rbo
openstack,la = 70.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND self = 0.0 AND ndev = 5.0 AND age = 0.2543287037037037 AND app = 2.0 AND rrexp = 791.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511,"{0: 0.041248803183225394, 2: 0.008632276095304404, 3: 0.11146376233438787, 4: 0.0030921825368568534, 6: 0.0005375661775178742, 8: 0.034330810995816134, 9: 0.018544037685715012, 10: 0.0311161287764844, 12: 0.05539721650802676, 1: 0.02831879857196327, 5: 0.030578191298809544, 7: 0.005571308581020276, 11: 0.01922779226471903}",6.1116262374064645,-0.20512820512820512,0.5733989161781478
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.1078124999999999 AND hcmt = 2.0 AND self = 0.0 AND ndev = 3.0 AND age = 3.9032291666666654 AND app = 1.0 AND asexp = 598.0 AND rsexp = 1725.0 AND asawr = 0.0428990904533409 AND rsawr = 0.1236124042111294,"{1: 0.004340134578003471, 2: 0.004278484993794791, 3: 0.009710517271200843, 8: 0.004408934821531148, 10: 0.0177283586686076, 11: 0.008532654972141245, 12: 0.007547153615769275, 13: 0.005873116184527589, 14: 0.009481412210020608, 15: 0.017675300258310926, 0: 0.040377121686806274, 4: 0.04542793597416676, 5: 0.016786262651085054, 6: 0.004486795198627078, 7: 0.02277236320652264, 9: 0.016058933998288012}",5.502634875998686,0.38333333333333336,0.3671284016204989
openstack,la = 6.0 AND nd = 3.0 AND ns = 1.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND self = 0.0 AND ndev = 7.0 AND age = 3.8489930555555554 AND app = 2.0 AND rrexp = 424.0 AND asawr = 0.7671957671957672 AND rsawr = 0.4497354497354497,"{2: 0.005285582290525781, 3: 0.021584395098761887, 6: 0.0003419312252663076, 8: 0.006651058574316266, 9: 0.006848943363729631, 10: 0.0034294974178919802, 11: 0.02244484457471117, 0: 0.05009537812708004, 1: 0.019663760182156695, 4: 0.04023625206078577, 5: 0.038557545339681386, 7: 0.018964023494881986, 12: 0.011735980591874978}",3.1132337732095388,0.6666666666666666,0.7898842228028573
qt,la = 0.0 AND ld = 0.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.1880439814814815 AND hcmt = 1.0 AND self = 0.0 AND ndev = 18.0 AND age = 103.68460648148148 AND app = 2.0 AND asexp = 601.0 AND rsexp = 751.0 AND asawr = 0.0431015966206057 AND rsawr = 0.0538411971074676,"{1: 0.007551540245899559, 3: 0.008822247081366186, 7: 0.013944081829281458, 8: 0.005051455491220622, 9: 0.008212840239816615, 10: 0.003331838524181876, 12: 0.00573685317953732, 14: 0.009326729544554838, 15: 0.001165196806455242, 0: 0.08742119829651529, 2: 0.005497935915959715, 4: 0.035327666289485936, 5: 0.03721230731708602, 6: 0.0010157688472691006, 11: 0.013834409220030465, 13: 0.005833505074672302}",6.8888385514905295,0.31666666666666665,0.2277576159233679
openstack,la = 121.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND self = 0.0 AND ndev = 11.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942,"{0: 0.22246866056288128, 1: 0.0071585863230575345, 2: 0.013060848002060083, 3: 0.11395105813215195, 4: 0.02863623292591001, 6: 0.00012089949203073047, 8: 0.017767053261923137, 9: 0.006909248180309077, 10: 0.028662027612772364, 11: 0.04356493966690323, 12: 0.09944668993581217, 5: 0.05407581206858594, 7: 0.007003716273611644}",8.111575303109626,-0.23076923076923078,0.7159600768684875
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.0454282407407407 AND hcmt = 2.0 AND self = 0.0 AND ndev = 16.0 AND age = 2.7005787037037035 AND app = 1.0 AND asexp = 610.0 AND rsexp = 1742.0 AND asawr = 0.0436802973977695 AND rsawr = 0.1246068058335716,"{1: 0.0007329258268555349, 2: 0.004573785976267572, 3: 0.010916186720314726, 6: 0.0005483774510003059, 8: 0.0037813012355309185, 9: 0.005062278963350764, 10: 0.016113854667410124, 11: 0.0060627714682141235, 12: 0.0059828043338029605, 14: 0.00548312865081698, 15: 0.00998848096151505, 0: 0.05092070419967967, 4: 0.054923588455394565, 5: 0.02824603468448004, 7: 0.020761690902868394, 13: 0.004060557619418433}",6.62739730668421,0.25,0.24628817487981797
openstack,la = 51.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.3966277727783788 AND nrev = 3.0 AND rtime = 21.98613425925926 AND self = 0.0 AND ndev = 25.0 AND age = 1.7360532407407403 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 AND rsawr = 0.5031011873117136,"{0: 0.044786441261458095, 2: 0.014248017369609442, 3: 0.11117996799126559, 5: 0.01722585606848952, 6: 0.0006656445959379198, 7: 0.004790127897940692, 9: 0.0800188398254977, 10: 0.04037294966175978, 11: 0.03643511646712796, 12: 0.007524255181997432, 1: 0.06381436435385694, 4: 0.006047557779893396, 8: 5.192342843656661e-05}",6.426211078029891,-0.1794871794871795,0.39363675125973285
qt,la = 1.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 1.7273148148148147 AND hcmt = 2.0 AND self = 0.0 AND ndev = 9.0 AND age = 26.981354166666662 AND app = 2.0 AND asexp = 600.0 AND rsexp = 993.0 AND asawr = 0.0429347049578511 AND rsawr = 0.0710101443063294,"{1: 0.0015655363825635505, 2: 0.0009130760966286289, 3: 0.00897663650303457, 5: 0.008588806027094052, 6: 0.0035279431028720862, 8: 0.003032792516482914, 9: 0.009928189324778031, 10: 0.00979603645439056, 12: 0.006612638843002969, 13: 0.005628295387427897, 14: 0.006010606367312903, 0: 0.08613355216167747, 4: 0.055926691592062525, 7: 0.0013269728069599295, 11: 0.0063703791730404195, 15: 0.00448964308918903}",7.89491994045939,0.4,0.32802301487339086
openstack,la = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.2867592592592592 AND self = 0.0 AND ndev = 4.0 AND age = 0.0291435185185185 AND app = 4.0 AND rrexp = 328.0 AND asawr = 0.1968911917098445 AND rsawr = 0.5492227979274611,"{1: 0.04193543101611794, 2: 0.0041805560017382955, 6: 0.0001632275030715391, 7: 0.0038155847060261294, 9: 0.00623291352423621, 11: 0.014906062334284797, 0: 0.0776041330615044, 3: 0.06810612074456003, 4: 0.04220453001522401, 5: 0.016266826640348883, 8: 0.008933089231104531, 10: 0.0021438082784698055, 12: 0.0019752888629955122}",4.090013771167036,0.48717948717948717,0.674680190697289
qt,la = 10.0 AND ld = 6.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 5.547083333333333 AND hcmt = 1.0 AND self = 0.0 AND ndev = 17.0 AND age = 0.2796412037037037 AND app = 2.0 AND asexp = 623.0 AND rsexp = 1947.0 AND asawr = 0.0445300792121601 AND rsawr = 0.1390137729251409,"{1: 0.0097301563415067, 2: 0.0035277745010944273, 3: 0.015664656478893448, 6: 0.01342582432985182, 7: 0.0070542149145649095, 8: 0.0038256173896979817, 9: 0.014705598126497535, 10: 0.015328746476620836, 12: 0.0035914948221898156, 14: 0.011002780097251162, 0: 0.008130719848763875, 4: 0.024218903779838, 5: 0.008343972669822506, 11: 0.00035052076381361983, 13: 0.010879277161820937, 15: 0.0022667983167502827}",5.352438312647619,-0.03333333333333333,0.19575463510017654
