dataset,inst,f2imprt,error,tau,rbo
openstack,la = 70.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND self = 0.0 AND ndev = 5.0 AND age = 0.2543287037037037 AND app = 2.0 AND rrexp = 791.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511,"{0: 0.17340283581260496, 1: 0.014287705753251013, 3: 0.00899833143890904, 4: 0.11016685584913896, 10: 0.053392093683626726, 11: 0.00011961046328514378, 2: 0.0166427060044945, 5: 0.038812565072215845, 6: 0.001669347786001378, 7: 0.005446846702713892, 8: 0.06204144837989513, 9: 0.056642966174857846, 12: 0.001055947740728454}",3.9773641983070007,-0.05128205128205128,0.510945079143973
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.1078124999999999 AND hcmt = 2.0 AND self = 0.0 AND ndev = 3.0 AND age = 3.9032291666666654 AND app = 1.0 AND asexp = 598.0 AND rsexp = 1725.0 AND asawr = 0.0428990904533409 AND rsawr = 0.1236124042111294,"{0: 0.2380782495663793, 5: 0.042553095876720744, 7: 0.03010833434887175, 8: 7.893743309304837e-05, 9: 0.032367965405355886, 14: 0.0005151774814552288, 15: 0.0004192871322677154, 1: 0.013922759176032945, 2: 0.017080338082669226, 3: 0.006009835613092668, 4: 6.614185871242443e-06, 6: 0.016005135381340213, 10: 0.09358018189738163, 11: 0.0002918821093044199, 12: 0.000827526864451992, 13: 0.03589008438953166}",4.0328387635188,-0.15,0.4361664642425541
openstack,la = 6.0 AND nd = 3.0 AND ns = 1.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND self = 0.0 AND ndev = 7.0 AND age = 3.8489930555555554 AND app = 2.0 AND rrexp = 424.0 AND asawr = 0.7671957671957672 AND rsawr = 0.4497354497354497,"{0: 0.17268411461020466, 1: 0.014220332888848816, 3: 0.009137456333025753, 4: 0.11103505909088911, 10: 0.05274602440630251, 2: 0.015911972599367, 5: 0.039429307190797826, 6: 0.0019983019328918394, 7: 0.0062885483124097774, 8: 0.06140410949071978, 9: 0.05733156516875145, 11: 0.0007058792987322714, 12: 0.0005169306513267283}",3.2534160146150883,0.15384615384615385,0.5373886482970589
qt,la = 0.0 AND ld = 0.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.1880439814814815 AND hcmt = 1.0 AND self = 0.0 AND ndev = 18.0 AND age = 103.68460648148148 AND app = 2.0 AND asexp = 601.0 AND rsexp = 751.0 AND asawr = 0.0431015966206057 AND rsawr = 0.0538411971074676,"{0: 0.2366705987365192, 4: 0.001722115101368713, 5: 0.04275864936345564, 7: 0.02959490081825014, 8: 0.0008352376975112354, 9: 0.03303117030767804, 14: 0.0021749335497243914, 1: 0.013685580504956617, 2: 0.017444896338339084, 3: 0.004694418369409818, 6: 0.016490991364095473, 10: 0.09390185792302354, 11: 8.1294801860773e-05, 12: 0.0014308791228635075, 13: 0.035518642665009544, 15: 0.00010047081338895442}",3.555892795112701,-0.11666666666666667,0.4361664642425541
openstack,la = 121.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND self = 0.0 AND ndev = 11.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942,"{0: 0.1715437209657605, 1: 0.015071358015537606, 3: 0.00932456091002467, 4: 0.10947074679666888, 10: 0.05286904354548981, 2: 0.016741514644376385, 5: 0.03975022787531848, 6: 0.002316297947655434, 7: 0.005479003500203203, 8: 0.06119883908131792, 9: 0.056624430307403266, 11: 0.0003229912923634186, 12: 0.00038294879980311255}",4.785192045435866,0.20512820512820512,0.629083081835269
qt,la = 1.0 AND ld = 0.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.0454282407407407 AND hcmt = 2.0 AND self = 0.0 AND ndev = 16.0 AND age = 2.7005787037037035 AND app = 1.0 AND asexp = 610.0 AND rsexp = 1742.0 AND asawr = 0.0436802973977695 AND rsawr = 0.1246068058335716,"{0: 0.23956349277204342, 4: 0.001104001276856722, 5: 0.042950334326216255, 7: 0.02931422822262421, 9: 0.031954654406676206, 11: 0.0002076868614061636, 14: 0.0003231085943324954, 15: 0.0006173318176349841, 1: 0.014195201533304837, 2: 0.018783490840552204, 3: 0.0051453417472185035, 6: 0.016940384408574698, 8: 0.0014171406449699463, 10: 0.09524705450127383, 12: 0.0021984577916728605, 13: 0.03482326977455272}",4.07153307496662,-0.15,0.4361664642425541
openstack,la = 51.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.3966277727783788 AND nrev = 3.0 AND rtime = 21.98613425925926 AND self = 0.0 AND ndev = 25.0 AND age = 1.7360532407407403 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 AND rsawr = 0.5031011873117136,"{0: 0.1711839514701477, 1: 0.014717636723009072, 3: 0.009686458276987954, 4: 0.11042160308694239, 10: 0.05413580832620037, 2: 0.017672242138204432, 5: 0.039503517729180565, 6: 0.0009351917239180073, 7: 0.006617136803085888, 8: 0.06082462927458939, 9: 0.055673469949250834, 11: 0.000882152507392715, 12: 0.0002730451442225021}",6.1402817250223345,-0.15384615384615385,0.5198736505725445
qt,la = 1.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 1.7273148148148147 AND hcmt = 2.0 AND self = 0.0 AND ndev = 9.0 AND age = 26.981354166666662 AND app = 2.0 AND asexp = 600.0 AND rsexp = 993.0 AND asawr = 0.0429347049578511 AND rsawr = 0.0710101443063294,"{0: 0.23973186447771777, 5: 0.04246858319784773, 7: 0.03010774698198655, 9: 0.0323688603132454, 14: 0.001444920885138487, 1: 0.01452187537527514, 2: 0.017466712594437668, 3: 0.005294882918419527, 4: 1.3815408278415137e-05, 6: 0.01616729609679408, 8: 0.000546619855208106, 10: 0.09459461090769432, 11: 0.0008545743171821132, 12: 0.0018982300567006373, 13: 0.03547453011737567, 15: 0.0008093730546260585}",4.397074004107182,0.15,0.4054817496217567
openstack,la = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.2867592592592592 AND self = 0.0 AND ndev = 4.0 AND age = 0.0291435185185185 AND app = 4.0 AND rrexp = 328.0 AND asawr = 0.1968911917098445 AND rsawr = 0.5492227979274611,"{0: 0.17154408731322063, 1: 0.01540061481871365, 3: 0.008772325818122163, 4: 0.10983574874245805, 10: 0.052312638127494274, 2: 0.017174949170321148, 5: 0.03861015614559276, 6: 0.002330712487484713, 7: 0.00610111468276131, 8: 0.06089429342963571, 9: 0.057079113885782254, 11: 0.0008658617526727225, 12: 0.0014265045182913585}",3.6414083221832705,-0.15384615384615385,0.5040006346995286
qt,la = 10.0 AND ld = 6.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 5.547083333333333 AND hcmt = 1.0 AND self = 0.0 AND ndev = 17.0 AND age = 0.2796412037037037 AND app = 2.0 AND asexp = 623.0 AND rsexp = 1947.0 AND asawr = 0.0445300792121601 AND rsawr = 0.1390137729251409,"{0: 0.2405500857406544, 4: 0.001138880318093593, 5: 0.04361609205843276, 7: 0.029976891538671238, 8: 5.61022257835241e-05, 9: 0.03222120488215373, 14: 0.0006062257781516192, 1: 0.01257782259598386, 2: 0.016872125216613108, 3: 0.004701538194179228, 6: 0.015384654919563073, 10: 0.09542881009264267, 11: 0.0015638647658206843, 12: 0.0016911399353290344, 13: 0.033355196788213415, 15: 0.001016364899563035}",4.049337515876206,-0.15,0.4361664642425541
openstack,la = 53.0 AND nd = 4.0 AND ns = 1.0 AND ent = 0.9877359431019634 AND nrev = 5.0 AND rtime = 14.482893518518518 AND self = 0.0 AND ndev = 21.0 AND age = 8.599675925925926 AND app = 5.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467,"{0: 0.17209508281740332, 1: 0.014428932002623606, 3: 0.00984662197949464, 4: 0.11035578981828886, 10: 0.05329458223205742, 2: 0.01651944303401263, 5: 0.04043546068109748, 6: 0.0013077444194925351, 7: 0.005707591442666571, 8: 0.061656184505177375, 9: 0.05658240195593118, 11: 0.0003473501964290196, 12: 0.0014249869339643382}",5.181152006495357,-0.05128205128205128,0.5317784124773064
qt,la = 327.0 AND ld = 598.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.4892513356714998 AND nrev = 18.0 AND rtime = 6.506805555555555 AND hcmt = 3.0 AND self = 0.0 AND ndev = 20.0 AND age = 0.2476350308641975 AND app = 1.0 AND asexp = 625.0 AND rsexp = 1757.0 AND asawr = 0.044628217010052 AND rsawr = 0.1253297212518714,"{0: 0.23806152374570874, 5: 0.043826334055523816, 7: 0.028103711589901326, 9: 0.03288212135197868, 14: 0.0011443860936605039, 15: 0.0001944966396683907, 1: 0.015410642092755247, 2: 0.01711180658318372, 3: 0.004729547800990928, 4: 0.00031269001083903655, 6: 0.01647524125380905, 8: 0.0004546643327484935, 10: 0.09421086757522033, 11: 0.0019444424382954603, 12: 0.0014593397622962457, 13: 0.03522714165550591}",7.325822475331889,-0.2,0.44449979757588753
